instruction,output,code,correct_name,question_type,disease_id,wrong_name
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S4281 là bệnh Các bất thường về màu tóc và sợi tóc, không điển hình.",Sai,S4281,"Gãy các phần khác của xương vai và xương cánh tay, gãy hở",incorrect_pairing,S4281_0_no,"Các bất thường về màu tóc và sợi tóc, không điển hình"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B95 là bệnh Liên cầu và tụ cầu là nguyên nhân gây bệnh, được phân loại ở các chương khác.",Đúng,B95,"Liên cầu và tụ cầu là nguyên nhân gây bệnh, được phân loại ở các chương khác",correct_pairing,B95_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã E200 là bệnh U ác của xương bả vai và xương dài của chi trên.",Sai,E200,Suy cận giáp không rõ nguyên nhân,incorrect_pairing,E200_0_no,U ác của xương bả vai và xương dài của chi trên
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P831 là bệnh Đỏ da nhiễm độc của trẻ sơ sinh.",Đúng,P831,Đỏ da nhiễm độc của trẻ sơ sinh,correct_pairing,P831_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y501 là bệnh Nhiễm ký sinh trùng, không đặc hiệu.",Sai,Y501,Chất đối kháng thụ cảm opioid,incorrect_pairing,Y501_0_no,"Nhiễm ký sinh trùng, không đặc hiệu"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S721 là bệnh Crushing injury of thigh.",Sai,S721,Gãy mấu chuyển,incorrect_pairing,S721_0_no,Crushing injury of thigh
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S328 là bệnh Đái máu dai dẳng và tái phát, Viêm cầu thận hình liềm lan tỏa.",Sai,S328,Gãy các phần không xác định và khác của gai thắt lưng và chậu,incorrect_pairing,S328_0_no,"Đái máu dai dẳng và tái phát, Viêm cầu thận hình liềm lan tỏa"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã V292 là bệnh Lái xe mô tô không rõ đặc điểm, bị thương khi va chạm với mô tô khác không rõ đặc điểm trong tai nạn không phải giao thông.",Đúng,V292,"Lái xe mô tô không rõ đặc điểm, bị thương khi va chạm với mô tô khác không rõ đặc điểm trong tai nạn không phải giao thông",correct_pairing,V292_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F333 là bệnh Rối loạn trầm cảm tái diễn, hiện tại giai đoạn nặng với các triệu chứng loạn thần.",Đúng,F333,"Rối loạn trầm cảm tái diễn, hiện tại giai đoạn nặng với các triệu chứng loạn thần",correct_pairing,F333_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Q437 là bệnh Ung thư biểu mô tại chỗ của da mí mắt bao gồm góc mắt.",Sai,Q437,Tồn tại ổ nhớp,incorrect_pairing,Q437_0_no,Ung thư biểu mô tại chỗ của da mí mắt bao gồm góc mắt
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K119 là bệnh Bệnh tuyến nước bọt, không đặc hiệu.",Đúng,K119,"Bệnh tuyến nước bọt, không đặc hiệu",correct_pairing,K119_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D529 là bệnh Người đi trên xe buýt (bus) bị thương khi va chạm với xe không có động cơ khác.",Sai,D529,Thiếu máu thiếu folate không đặc hiệu,incorrect_pairing,D529_0_no,Người đi trên xe buýt (bus) bị thương khi va chạm với xe không có động cơ khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L906 là bệnh Rạn da teo.",Đúng,L906,Rạn da teo,correct_pairing,L906_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z570 là bệnh Nghề nghiệp tiếp xúc với tiếng ồn.",Đúng,Z570,Nghề nghiệp tiếp xúc với tiếng ồn,correct_pairing,Z570_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F204 là bệnh Bệnh phổi tắc nghẽn mãn tính, phân loại khác.",Sai,F204,Tâm thần phân liệt thể trầm cảm sau phân liệt,incorrect_pairing,F204_0_no,"Bệnh phổi tắc nghẽn mãn tính, phân loại khác"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D044 là bệnh Bệnh của mống mắt và thể mi trong bệnh phân loại nơi khác.",Sai,D044,Ung thư biểu mô tại chỗ của da đầu và cổ,incorrect_pairing,D044_0_no,Bệnh của mống mắt và thể mi trong bệnh phân loại nơi khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z438 là bệnh Chăm sóc các lỗ mở nhân tạo khác.",Đúng,Z438,Chăm sóc các lỗ mở nhân tạo khác,correct_pairing,Z438_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã E055 là bệnh Chăm sóc bà mẹ vì bất tương xứng hay nghi ngờ có bất tương xứng.",Sai,E055,Cơn cường giáp cấp hay cơn bão giáp,incorrect_pairing,E055_0_no,Chăm sóc bà mẹ vì bất tương xứng hay nghi ngờ có bất tương xứng
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T063 là bệnh Tổn thương mạch máu tác động nhiều vùng cơ thể.",Đúng,T063,Tổn thương mạch máu tác động nhiều vùng cơ thể,correct_pairing,T063_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C080 là bệnh U ác của tuyến nước bọt dưới hàm dưới.",Đúng,C080,U ác của tuyến nước bọt dưới hàm dưới,correct_pairing,C080_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S862 là bệnh Tổn thương cơ khác và gân nhóm cơ trước tại tầm cẳng chân.",Đúng,S862,Tổn thương cơ khác và gân nhóm cơ trước tại tầm cẳng chân,correct_pairing,S862_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y25 là bệnh U ác của lưỡi không đặc hiệu.",Sai,Y25,"Tiếp xúc chất nổ, không rõ ý đồ",incorrect_pairing,Y25_0_no,U ác của lưỡi không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S34 là bệnh Tổn thương dây thần kinh và dây sống tại bụng, lưng và chậu hông.",Đúng,S34,"Tổn thương dây thần kinh và dây sống tại bụng, lưng và chậu hông",correct_pairing,S34_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L401 là bệnh Nốt ruồi của chi trên bao gồm vai.",Sai,L401,Vảy nến mủ toàn thân,incorrect_pairing,L401_0_no,Nốt ruồi của chi trên bao gồm vai
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K111 là bệnh Phì đại tuyến nước bọt.",Đúng,K111,Phì đại tuyến nước bọt,correct_pairing,K111_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O072 là bệnh Viêm não Nhật Bản.",Sai,O072,"Phá thai nội khoa thất bại, gây biến chứng tắc mạch",incorrect_pairing,O072_0_no,Viêm não Nhật Bản
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G519 là bệnh Glocom góc mở nguyên phát.",Sai,G519,"Bệnh dây thần kinh mặt, không đặc hiệu",incorrect_pairing,G519_0_no,Glocom góc mở nguyên phát
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã R825 là bệnh Tăng nồng độ thuốc, dược phẩm sinh học cao trong nước tiểu.",Đúng,R825,"Tăng nồng độ thuốc, dược phẩm sinh học cao trong nước tiểu",correct_pairing,R825_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T86 là bệnh Chuyển dạ và đẻ có vướng mắc khác của dây rốn với chèn ép.",Sai,T86,Thất bại và thải bỏ ghép phủ tạng và tổ chức,incorrect_pairing,T86_0_no,Chuyển dạ và đẻ có vướng mắc khác của dây rốn với chèn ép
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C401 là bệnh U ác của xương ngắn của chi trên.",Đúng,C401,U ác của xương ngắn của chi trên,correct_pairing,C401_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B09 là bệnh Nhiễm virus không xác định, có biểu hiện tổn thương tại da và niêm mạc.",Đúng,B09,"Nhiễm virus không xác định, có biểu hiện tổn thương tại da và niêm mạc",correct_pairing,B09_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã J66 là bệnh Bệnh đường dẫn khí do bụi hữu cơ đặc biệt khác.",Đúng,J66,Bệnh đường dẫn khí do bụi hữu cơ đặc biệt khác,correct_pairing,J66_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H011 là bệnh U mỡ lành tính của da và mô dưới da ở thân hình.",Sai,H011,Bệnh da mi mắt không nhiễm trùng,incorrect_pairing,H011_0_no,U mỡ lành tính của da và mô dưới da ở thân hình
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L209 là bệnh Dụng cụ tim mạch kết hợp với tai biến.",Sai,L209,"Viêm da cơ địa, không đặc hiệu",incorrect_pairing,L209_0_no,Dụng cụ tim mạch kết hợp với tai biến
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0758 là bệnh Bệnh khớp trong viêm loét đại tràng (K51.-†), vị trí khác.",Đúng,M0758,"Bệnh khớp trong viêm loét đại tràng (K51.-†), vị trí khác",correct_pairing,M0758_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z714 là bệnh Bệnh HIV dẫn đến các tình trạng xác định khác.",Sai,Z714,Tư vấn và theo dõi lạm dụng rượu,incorrect_pairing,Z714_0_no,Bệnh HIV dẫn đến các tình trạng xác định khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G940 là bệnh Bệnh khác của lưỡi.",Sai,G940,Tràn dịch não trong bệnh nhiễm trùng và ký sinh trùng phân loại ở mục khác (A00-B99†),incorrect_pairing,G940_0_no,Bệnh khác của lưỡi
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D057 là bệnh Rối loạn chuyển hóa kẽm.",Sai,D057,Ung thư biểu mô ống tuyến khác tại chỗ của vú,incorrect_pairing,D057_0_no,Rối loạn chuyển hóa kẽm
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G553 là bệnh Chèn ép rễ và đám rối thần kinh trong bệnh khác vùng lưng (M45-M46†, M48.-†, M53-M54†).",Đúng,G553,"Chèn ép rễ và đám rối thần kinh trong bệnh khác vùng lưng (M45-M46†, M48.-†, M53-M54†)",correct_pairing,G553_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S548 là bệnh U ác của niệu đạo.",Sai,S548,Tổn thương dây thần kinh khác ở tầm cẳng tay,incorrect_pairing,S548_0_no,U ác của niệu đạo
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M3684 là bệnh Hồng ban trong các bệnh đã phân loại ở phần khác.",Sai,M3684,"Tổn thương hệ thống mô liên kết trong các bệnh đã được xếp loại ở mục khác, bàn tay",incorrect_pairing,M3684_0_no,Hồng ban trong các bệnh đã phân loại ở phần khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C80 là bệnh Hội chứng viêm thận tiến triển, không xác định.",Sai,C80,U ác không xác định vị trí,incorrect_pairing,C80_0_no,"Hội chứng viêm thận tiến triển, không xác định"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0736 là bệnh Sự có mặt của dụng cụ cấy ghép nội tiết.",Sai,M0736,"Bệnh viêm khớp vảy nến khác (L40.5†), cẳng chân",incorrect_pairing,M0736_0_no,Sự có mặt của dụng cụ cấy ghép nội tiết
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M853 là bệnh Viêm xương dạng đặc.",Đúng,M853,Viêm xương dạng đặc,correct_pairing,M853_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0137 là bệnh Viêm khớp trong các bệnh nhiễm khuẩn được phân loại ở nơi khác, cổ, bàn chân.",Đúng,M0137,"Viêm khớp trong các bệnh nhiễm khuẩn được phân loại ở nơi khác, cổ, bàn chân",correct_pairing,M0137_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L980 là bệnh Tổn thương nhiều mạch máu vùng cổ.",Sai,L980,U hạt sinh mủ,incorrect_pairing,L980_0_no,Tổn thương nhiều mạch máu vùng cổ
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S557 là bệnh Tổn thương đa mạch máu ở tầm cẳng tay.",Đúng,S557,Tổn thương đa mạch máu ở tầm cẳng tay,correct_pairing,S557_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S302 là bệnh Đụng giập cơ quan sinh dục ngoài.",Đúng,S302,Đụng giập cơ quan sinh dục ngoài,correct_pairing,S302_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K765 là bệnh Bệnh tắc tĩnh mạch trên gan.",Đúng,K765,Bệnh tắc tĩnh mạch trên gan,correct_pairing,K765_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L502 là bệnh Các nhân tố tâm lý và hành vi kết hợp với rối loạn hoặc các bệnh phân loại ở nơi khác.",Sai,L502,Mày đay do lạnh và nóng,incorrect_pairing,L502_0_no,Các nhân tố tâm lý và hành vi kết hợp với rối loạn hoặc các bệnh phân loại ở nơi khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B07 là bệnh Bệnh mụn cóc do virus.",Đúng,B07,Bệnh mụn cóc do virus,correct_pairing,B07_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D024 là bệnh Ung thư biểu mô tại chỗ của hệ hô hấp không đặc hiệu.",Đúng,D024,Ung thư biểu mô tại chỗ của hệ hô hấp không đặc hiệu,correct_pairing,D024_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P720 là bệnh Tổn thương não chưa xác định do chấn thương khi sinh.",Sai,P720,"Bướu giáp trạng sơ sinh, không phân loại nơi khác",incorrect_pairing,P720_0_no,Tổn thương não chưa xác định do chấn thương khi sinh
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0101 là bệnh Viêm khớp do não mô cầu (A39.8†), vùng bả vai.",Đúng,M0101,"Viêm khớp do não mô cầu (A39.8†), vùng bả vai",correct_pairing,M0101_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L678 là bệnh Kháng các thuốc kháng sinh khác.",Sai,L678,Các bất thường khác về màu tóc sợi tóc,incorrect_pairing,L678_0_no,Kháng các thuốc kháng sinh khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z894 là bệnh Blốc nhĩ thất độ I.",Sai,Z894,Mất bàn chân và mắt cá chân mắc phải (nhiều) ngón chân,incorrect_pairing,Z894_0_no,Blốc nhĩ thất độ I
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã J014 là bệnh Chấn thương khi sinh được xác định rõ khác.",Sai,J014,Viêm toàn bộ xoang cấp,incorrect_pairing,J014_0_no,Chấn thương khi sinh được xác định rõ khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H624 là bệnh Viêm hạch bạch huyết cấp ở mặt, đầu và cổ.",Sai,H624,Viêm tai ngoài trong bệnh khác phân loại nơi khác,incorrect_pairing,H624_0_no,"Viêm hạch bạch huyết cấp ở mặt, đầu và cổ"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O343 là bệnh Viêm khớp do vi khuẩn sinh mủ không đặc hiệu.",Sai,O343,Chăm sóc bà mẹ bị hở eo tử cung,incorrect_pairing,O343_0_no,Viêm khớp do vi khuẩn sinh mủ không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã J371 là bệnh Viêm thanh khí quản mạn.",Đúng,J371,Viêm thanh khí quản mạn,correct_pairing,J371_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G470 là bệnh Rối loạn vào giấc và duy trì giấc ngủ [mất ngủ].",Đúng,G470,Rối loạn vào giấc và duy trì giấc ngủ [mất ngủ],correct_pairing,G470_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O872 là bệnh Bệnh ho gà do Bordetella parapertussis.",Sai,O872,Trĩ sau đẻ,incorrect_pairing,O872_0_no,Bệnh ho gà do Bordetella parapertussis
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H36 là bệnh U lympho tế bào B, không đặc hiệu.",Sai,H36,Bệnh võng mạc trong các bệnh phân loại nơi khác,incorrect_pairing,H36_0_no,"U lympho tế bào B, không đặc hiệu"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Q559 là bệnh Dị tật bẩm sinh của cơ quan sinh dục nam không đặc hiệu.",Đúng,Q559,Dị tật bẩm sinh của cơ quan sinh dục nam không đặc hiệu,correct_pairing,Q559_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N017 là bệnh Bệnh của trung thất, không phân loại nơi khác.",Sai,N017,"Hội chứng viêm thận tiến triển, viêm cầu thận hình liềm lan tỏa",incorrect_pairing,N017_0_no,"Bệnh của trung thất, không phân loại nơi khác"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã I251 là bệnh Xẹp đốt sống, chưa được xếp loại ở mục khác.",Sai,I251,Bệnh tim mạch do xơ vữa động mạch,incorrect_pairing,I251_0_no,"Xẹp đốt sống, chưa được xếp loại ở mục khác"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M2301 là bệnh Kén (nang) sụn chêm Dây chằng chéo trước hoặc sừng trước của sụn chêm trong.",Đúng,M2301,Kén (nang) sụn chêm Dây chằng chéo trước hoặc sừng trước của sụn chêm trong,correct_pairing,M2301_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A832 là bệnh Viêm não ngựa miền Đông.",Đúng,A832,Viêm não ngựa miền Đông,correct_pairing,A832_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K921 là bệnh Đi ngoài phân đen.",Đúng,K921,Đi ngoài phân đen,correct_pairing,K921_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N884 là bệnh Những vấn đề liên quan đến vợ chồng hay thành viên.",Sai,N884,Cổ tử cung bị kéo dài do phì đại,incorrect_pairing,N884_0_no,Những vấn đề liên quan đến vợ chồng hay thành viên
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M754 là bệnh Hội chứng chèn ép vùng vai.",Đúng,M754,Hội chứng chèn ép vùng vai,correct_pairing,M754_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Q182 là bệnh Nang nước não bẩm sinh.",Sai,Q182,Dị tật khe hở mang khác,incorrect_pairing,Q182_0_no,Nang nước não bẩm sinh
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K71 là bệnh Viêm phổi do tác nhân nhiễm khuẩn khác.",Sai,K71,Bệnh gan do độc chất,incorrect_pairing,K71_0_no,Viêm phổi do tác nhân nhiễm khuẩn khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C183 là bệnh U ác của đại tràng góc gan.",Đúng,C183,U ác của đại tràng góc gan,correct_pairing,C183_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y512 là bệnh Thuốc chặn hạch, không xếp loại ở nơi khác.",Đúng,Y512,"Thuốc chặn hạch, không xếp loại ở nơi khác",correct_pairing,Y512_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D314 là bệnh Bệnh tiết niệu trào ngược và tắc nghẽn.",Sai,D314,U lành thể mi,incorrect_pairing,D314_0_no,Bệnh tiết niệu trào ngược và tắc nghẽn
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N762 là bệnh Viêm âm hộ cấp.",Đúng,N762,Viêm âm hộ cấp,correct_pairing,N762_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S758 là bệnh Viêm mạch hoại tử không đặc hiệu.",Sai,S758,Tổn thương mạch máu khác tại tầm háng và đùi,incorrect_pairing,S758_0_no,Viêm mạch hoại tử không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B26 là bệnh Bệnh quai bị.",Đúng,B26,Bệnh quai bị,correct_pairing,B26_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z010 là bệnh Khám mắt và thị lực.",Đúng,Z010,Khám mắt và thị lực,correct_pairing,Z010_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G70 là bệnh Nhược cơ và bệnh thần kinh - cơ khác.",Đúng,G70,Nhược cơ và bệnh thần kinh - cơ khác,correct_pairing,G70_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L906 là bệnh Viêm tĩnh mạch và viêm tắc tĩnh mạch nội sọ và nội tủy.",Sai,L906,Rạn da teo,incorrect_pairing,L906_0_no,Viêm tĩnh mạch và viêm tắc tĩnh mạch nội sọ và nội tủy
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã E53 là bệnh Các bệnh viêm da cơ khác.",Sai,E53,Thiếu các vitamin nhóm B khác,incorrect_pairing,E53_0_no,Các bệnh viêm da cơ khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã V296 là bệnh Lái xe mô tô không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông.",Đúng,V296,Lái xe mô tô không rõ đặc điểm bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông,correct_pairing,V296_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z931 là bệnh Nhiễm độc do thực phẩm nhiễm aflatoxin và độc tố nấm khác.",Sai,Z931,Tình trạng lỗ mở dạ dày,incorrect_pairing,Z931_0_no,Nhiễm độc do thực phẩm nhiễm aflatoxin và độc tố nấm khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P040 là bệnh Cần tiêm chủng phòng các bệnh nhiễm khuẩn đơn độc khác.",Sai,P040,"Thai nhi và trẻ sơ sinh bị ảnh hưởng do thuốc gây mê, gây tê trong khi có thai, trong lúc chuyển dạ và trong khi đẻ",incorrect_pairing,P040_0_no,Cần tiêm chủng phòng các bệnh nhiễm khuẩn đơn độc khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L605 là bệnh Bỏng tại mắt và phần phụ của mắt, phần chưa xác định.",Sai,L605,Hội chứng vàng móng,incorrect_pairing,L605_0_no,"Bỏng tại mắt và phần phụ của mắt, phần chưa xác định"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T86 là bệnh Thất bại và thải bỏ ghép phủ tạng và tổ chức.",Đúng,T86,Thất bại và thải bỏ ghép phủ tạng và tổ chức,correct_pairing,T86_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K223 là bệnh Thủng thực quản.",Đúng,K223,Thủng thực quản,correct_pairing,K223_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P100 là bệnh Chảy máu dưới màng cứng do chấn thương khi sinh.",Đúng,P100,Chảy máu dưới màng cứng do chấn thương khi sinh,correct_pairing,P100_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A328 là bệnh Tổn thương cột sống do nguyên nhân thần kinh, Nhiều vị trí.",Sai,A328,Thể khác của nhiễm trùng listeria,incorrect_pairing,A328_0_no,"Tổn thương cột sống do nguyên nhân thần kinh, Nhiều vị trí"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y428 là bệnh Các hormon khác, không rõ đặc điểm và các chất thay thế tổng hợp của chúng.",Đúng,Y428,"Các hormon khác, không rõ đặc điểm và các chất thay thế tổng hợp của chúng",correct_pairing,Y428_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M1424 là bệnh Bệnh khớp do đái tháo đường đường (E10-E14 với ký tự thứ tư chung .6†), bàn tay.",Đúng,M1424,"Bệnh khớp do đái tháo đường đường (E10-E14 với ký tự thứ tư chung .6†), bàn tay",correct_pairing,M1424_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O68 là bệnh Chuyển dạ và đẻ có biến chứng suy thai.",Đúng,O68,Chuyển dạ và đẻ có biến chứng suy thai,correct_pairing,O68_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0305 là bệnh Cần có các biện pháp phòng bệnh khác.",Sai,M0305,"Viêm khớp sau nhiễm não mô cầu (A39.8†), vùng chậu và đùi",incorrect_pairing,M0305_0_no,Cần có các biện pháp phòng bệnh khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H509 là bệnh Lác, không đặc hiệu.",Đúng,H509,"Lác, không đặc hiệu",correct_pairing,H509_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0759 là bệnh Cơn đau quặn thận không xác định.",Sai,M0759,"Bệnh khớp trong viêm loét đại tràng (K51.-†), vị trí không xác định",incorrect_pairing,M0759_0_no,Cơn đau quặn thận không xác định
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A418 là bệnh Người lái xe mô tô bị thương trong TNGT khác không rõ đặc điểm.",Sai,A418,Nhiễm trùng huyết xác định khác,incorrect_pairing,A418_0_no,Người lái xe mô tô bị thương trong TNGT khác không rõ đặc điểm
